t,tc_l2_E,tc_l2_I,tc_ma_E,tc_ma_I,cos_E,cos_I
159,0.00012027595948893577,6.149733962956816e-05,6.835298790974775e-06,6.9971092671039514e-06,0.003097195876762271,-0.012687360867857933
160,0.00011979365081060678,6.123048660811037e-05,6.807241334172431e-06,6.95735161571065e-06,0.004625347442924976,-0.01815066859126091
161,0.00011797140905400738,6.043621397111565e-05,6.699104233121034e-06,6.867026513646124e-06,0.0036800510715693235,-0.012497734278440475
162,0.00011272335541434586,5.771255382569507e-05,6.4008345361799e-06,6.559725989063736e-06,0.0037739123217761517,-0.010584701783955097
163,0.00011181900481460616,5.723243157262914e-05,6.347977432596963e-06,6.5149129113706294e-06,0.004860059358179569,-0.011758632026612759
164,0.00011749932309612632,6.0256512369960546e-05,6.6727343437378295e-06,6.869172921142308e-06,0.0023145172744989395,-0.010513268411159515
165,0.000122904748423025,6.298659718595445e-05,6.979507361393189e-06,7.185856702562887e-06,0.0017250218661502004,-0.015454795211553574
166,0.00012650192365981638,6.49237772449851e-05,7.183687557699159e-06,7.403245035675354e-06,0.0017217567656189203,-0.017416929826140404
167,0.0001253047084901482,6.447893247241154e-05,7.114794698281912e-06,7.350396572292084e-06,0.0029126135632395744,-0.020057154819369316
168,0.00012328526645433158,6.359018152579665e-05,7.001545327511849e-06,7.241692856041482e-06,0.004942084662616253,-0.021064989268779755
169,0.00012273472384549677,6.338217644952238e-05,6.974862117203884e-06,7.212183845695108e-06,0.003662376431748271,-0.01462966576218605
170,0.0001208194371429272,6.243534153327346e-05,6.870383458590368e-06,7.097959951352095e-06,0.002751029096543789,-0.009848951362073421
171,0.00011536401871126145,5.921103002037853e-05,6.557452252309304e-06,6.736938757967437e-06,0.0037597580812871456,-0.010141737759113312
172,0.00011369372805347666,5.808663627249189e-05,6.458839379774872e-06,6.611835488001816e-06,0.006142990197986364,-0.014835232868790627
173,0.00011579874262679368,5.9223693824606016e-05,6.579417913599173e-06,6.744724032614613e-06,0.00489249499514699,-0.017266245558857918
174,0.00011905621795449406,6.09146554779727e-05,6.769264928152552e-06,6.947023848624667e-06,0.002866973401978612,-0.016144685447216034
175,0.00012268743012100458,6.299001688603312e-05,6.981253136473242e-06,7.187002665887121e-06,0.0019445247016847134,-0.016810040920972824
176,0.00012350472388789058,6.373856740538031e-05,7.025463673926424e-06,7.280835689016385e-06,0.001474719843827188,-0.015340525656938553
177,0.00012385437730699778,6.415030657080933e-05,7.0437431531900074e-06,7.321435987250879e-06,0.0029152792412787676,-0.01514399889856577
178,0.00012373689969535917,6.407484761439264e-05,7.033245765342144e-06,7.310947239602683e-06,0.002857430372387171,-0.014349149540066719
179,0.0001226463500643149,6.348772149067372e-05,6.973445124458522e-06,7.23344828656991e-06,0.003389798104763031,-0.01368311420083046
180,0.00012007173791062087,6.220266368472949e-05,6.8263220782682765e-06,7.082902357069543e-06,0.003609520848840475,-0.012274572625756264
181,0.00011504961730679497,5.948965554125607e-05,6.540321919601411e-06,6.7686414695344865e-06,0.0038693812675774097,-0.009417152032256126
182,0.00011327301763230935,5.834559124195948e-05,6.439433491323143e-06,6.639012099185493e-06,0.004488249775022268,-0.008083639666438103
